year,month,day,hour,solar
2018,1,1,0,0.0
2018,1,1,1,0.0
2018,1,1,2,0.0
2018,1,1,3,0.0
2018,1,1,4,0.0
2018,1,1,5,0.0
2018,1,1,6,0.0
2018,1,1,7,0.0
2018,1,1,8,0.26033333333333325
2018,1,1,9,4.444833333333333
2018,1,1,10,9.756333333333332
2018,1,1,11,12.078333333333328
2018,1,1,12,11.330333333333332
2018,1,1,13,5.239833333333333
2018,1,1,14,0.09333333333333337
2018,1,1,15,0.0
2018,1,1,16,0.0
2018,1,1,17,0.0
2018,1,1,18,0.0
2018,1,1,19,0.0
2018,1,1,20,0.0
2018,1,1,21,0.0
2018,1,1,22,0.0
2018,1,1,23,0.0
2018,1,2,0,0.0
2018,1,2,1,0.0
2018,1,2,2,0.0
2018,1,2,3,0.0
2018,1,2,4,0.0
2018,1,2,5,0.0
2018,1,2,6,0.0
2018,1,2,7,0.0
2018,1,2,8,0.24666666666666665
2018,1,2,9,3.527166666666666
2018,1,2,10,8.939999999999998
2018,1,2,11,11.3225
2018,1,2,12,9.023333333333332
2018,1,2,13,5.073333333333334
2018,1,2,14,0.3071666666666665
2018,1,2,15,0.0
2018,1,2,16,0.0
2018,1,2,17,0.0
2018,1,2,18,0.0
2018,1,2,19,0.0
2018,1,2,20,0.0
2018,1,2,21,0.0
2018,1,2,22,0.0
2018,1,2,23,0.0
2018,1,3,0,0.0
2018,1,3,1,0.0
2018,1,3,2,0.0
2018,1,3,3,0.0
2018,1,3,4,0.0
2018,1,3,5,0.0
2018,1,3,6,0.0
2018,1,3,7,0.0
2018,1,3,8,0.3674999999999999
2018,1,3,9,4.3365
2018,1,3,10,10.5265
2018,1,3,11,18.657333333333334
2018,1,3,12,18.59083333333334
2018,1,3,13,10.325999999999997
2018,1,3,14,0.2603333333333334
2018,1,3,15,0.0
2018,1,3,16,0.0
2018,1,3,17,0.0
2018,1,3,18,0.0
2018,1,3,19,0.0
2018,1,3,20,0.0
2018,1,3,21,0.0
2018,1,3,22,0.0
2018,1,3,23,0.0
2018,1,4,0,0.0
2018,1,4,1,0.0
2018,1,4,2,0.0
2018,1,4,3,0.0
2018,1,4,4,0.0
2018,1,4,5,0.0
2018,1,4,6,0.0
2018,1,4,7,0.0
2018,1,4,8,0.0
2018,1,4,9,2.7831666666666663
2018,1,4,10,7.241000000000002
2018,1,4,11,9.991
2018,1,4,12,7.933333333333329
2018,1,4,13,3.4660000000000037
2018,1,4,14,0.02666666666666667
2018,1,4,15,0.0
2018,1,4,16,0.0
2018,1,4,17,0.0
2018,1,4,18,0.0
2018,1,4,19,0.0
2018,1,4,20,0.0
2018,1,4,21,0.0
2018,1,4,22,0.0
2018,1,4,23,0.0
2018,1,5,0,0.0
2018,1,5,1,0.0
2018,1,5,2,0.0
2018,1,5,3,0.0
2018,1,5,4,0.0
2018,1,5,5,0.0
2018,1,5,6,0.0
2018,1,5,7,0.0
2018,1,5,8,0.3343333333333333
2018,1,5,9,9.756333333333334
2018,1,5,10,24.59350000000001
2018,1,5,11,35.60749999999999
2018,1,5,12,18.63016666666667
2018,1,5,13,6.190000000000001
2018,1,5,14,0.16666666666666669
2018,1,5,15,0.0
2018,1,5,16,0.0
2018,1,5,17,0.0
2018,1,5,18,0.0
2018,1,5,19,0.0
2018,1,5,20,0.0
2018,1,5,21,0.0
2018,1,5,22,0.0
2018,1,5,23,0.0
2018,1,6,0,0.0
2018,1,6,1,0.0
2018,1,6,2,0.0
2018,1,6,3,0.0
2018,1,6,4,0.0
2018,1,6,5,0.0
2018,1,6,6,0.0
2018,1,6,7,0.0
2018,1,6,8,0.4074999999999999
2018,1,6,9,3.4266666666666667
2018,1,6,10,1.7048333333333332
2018,1,6,11,3.6940000000000013
2018,1,6,12,6.133166666666669
2018,1,6,13,3.033
2018,1,6,14,0.5019999999999999
2018,1,6,15,0.0
2018,1,6,16,0.0
2018,1,6,17,0.0
2018,1,6,18,0.0
2018,1,6,19,0.0
2018,1,6,20,0.0
2018,1,6,21,0.0
2018,1,6,22,0.0
2018,1,6,23,0.0
2018,1,7,0,0.0
2018,1,7,1,0.0
2018,1,7,2,0.0
2018,1,7,3,0.0
2018,1,7,4,0.0
2018,1,7,5,0.0
2018,1,7,6,0.0
2018,1,7,7,0.0
2018,1,7,8,0.12666666666666665
2018,1,7,9,3.117833333333333
2018,1,7,10,11.79133333333333
2018,1,7,11,13.303
2018,1,7,12,6.772166666666666
2018,1,7,13,3.5120000000000027
2018,1,7,14,0.10666666666666667
2018,1,7,15,0.0
2018,1,7,16,0.0
2018,1,7,17,0.0
2018,1,7,18,0.0
2018,1,7,19,0.0
2018,1,7,20,0.0
2018,1,7,21,0.0
2018,1,7,22,0.0
2018,1,7,23,0.0
2018,1,8,0,0.0
2018,1,8,1,0.0
2018,1,8,2,0.0
2018,1,8,3,0.0
2018,1,8,4,0.0
2018,1,8,5,0.0
2018,1,8,6,0.0
2018,1,8,7,0.0
2018,1,8,8,0.8901666666666664
2018,1,8,9,6.21
2018,1,8,10,17.687
2018,1,8,11,18.984666666666666
2018,1,8,12,12.61841666666666
2018,1,8,13,5.17316666666667
2018,1,8,14,0.2601666666666668
2018,1,8,15,0.0
2018,1,8,16,0.0
2018,1,8,17,0.0
2018,1,8,18,0.0
2018,1,8,19,0.0
2018,1,8,20,0.0
2018,1,8,21,0.0
2018,1,8,22,0.0
2018,1,8,23,0.0
2018,1,9,0,0.0
2018,1,9,1,0.0
2018,1,9,2,0.0
2018,1,9,3,0.0
2018,1,9,4,0.0
2018,1,9,5,0.0
2018,1,9,6,0.0
2018,1,9,7,0.0
2018,1,9,8,1.0761666666666665
2018,1,9,9,12.5475
2018,1,9,10,33.11825
2018,1,9,11,43.09666666666666
2018,1,9,12,33.88100000000001
2018,1,9,13,12.828000000000005
2018,1,9,14,1.0301666666666662
2018,1,9,15,0.0
2018,1,9,16,0.0
2018,1,9,17,0.0
2018,1,9,18,0.0
2018,1,9,19,0.0
2018,1,9,20,0.0
2018,1,9,21,0.0
2018,1,9,22,0.0
2018,1,9,23,0.0
2018,1,10,0,0.0
2018,1,10,1,0.0
2018,1,10,2,0.0
2018,1,10,3,0.0
2018,1,10,4,0.0
2018,1,10,5,0.0
2018,1,10,6,0.0
2018,1,10,7,0.0
2018,1,10,8,1.6159999999999999
2018,1,10,9,13.751
2018,1,10,10,38.46466666666665
2018,1,10,11,47.81933333333336
2018,1,10,12,31.55925
2018,1,10,13,10.633333333333336
2018,1,10,14,0.6889999999999996
2018,1,10,15,0.0
2018,1,10,16,0.0
2018,1,10,17,0.0
2018,1,10,18,0.0
2018,1,10,19,0.0
2018,1,10,20,0.0
2018,1,10,21,0.0
2018,1,10,22,0.0
2018,1,10,23,0.0
2018,1,11,0,0.0
2018,1,11,1,0.0
2018,1,11,2,0.0
2018,1,11,3,0.0
2018,1,11,4,0.0
2018,1,11,5,0.0
2018,1,11,6,0.0
2018,1,11,7,0.0
2018,1,11,8,0.0
2018,1,11,9,2.615666666666667
2018,1,11,10,7.580666666666661
2018,1,11,11,8.216999999999992
2018,1,11,12,6.978999999999999
2018,1,11,13,4.3500000000000005
2018,1,11,14,0.1600000000000001
2018,1,11,15,0.0
2018,1,11,16,0.0
2018,1,11,17,0.0
2018,1,11,18,0.0
2018,1,11,19,0.0
2018,1,11,20,0.0
2018,1,11,21,0.0
2018,1,11,22,0.0
2018,1,11,23,0.0
2018,1,12,0,0.0
2018,1,12,1,0.0
2018,1,12,2,0.0
2018,1,12,3,0.0
2018,1,12,4,0.0
2018,1,12,5,0.0
2018,1,12,6,0.0
2018,1,12,7,0.0
2018,1,12,8,0.9296666666666664
2018,1,12,9,13.056500000000002
2018,1,12,10,43.50416666666665
2018,1,12,11,57.32316666666666
2018,1,12,12,45.95299999999999
2018,1,12,13,18.248666666666672
2018,1,12,14,2.5228333333333333
2018,1,12,15,0.0
2018,1,12,16,0.0
2018,1,12,17,0.0
2018,1,12,18,0.0
2018,1,12,19,0.0
2018,1,12,20,0.0
2018,1,12,21,0.0
2018,1,12,22,0.0
2018,1,12,23,0.0
2018,1,13,0,0.0
2018,1,13,1,0.0
2018,1,13,2,0.0
2018,1,13,3,0.0
2018,1,13,4,0.0
2018,1,13,5,0.0
2018,1,13,6,0.0
2018,1,13,7,0.0
2018,1,13,8,1.183833333333333
2018,1,13,9,14.016166666666667
2018,1,13,10,35.413500000000006
2018,1,13,11,51.909
2018,1,13,12,37.60149999999997
2018,1,13,13,16.92716666666667
2018,1,13,14,3.051166666666668
2018,1,13,15,0.0
2018,1,13,16,0.0
2018,1,13,17,0.0
2018,1,13,18,0.0
2018,1,13,19,0.0
2018,1,13,20,0.0
2018,1,13,21,0.0
2018,1,13,22,0.0
2018,1,13,23,0.0
2018,1,14,0,0.0
2018,1,14,1,0.0
2018,1,14,2,0.0
2018,1,14,3,0.0
2018,1,14,4,0.0
2018,1,14,5,0.0
2018,1,14,6,0.0
2018,1,14,7,0.0
2018,1,14,8,1.887
2018,1,14,9,16.107333333333333
2018,1,14,10,44.03233333333332
2018,1,14,11,50.937833333333366
2018,1,14,12,40.158
2018,1,14,13,14.78233333333333
2018,1,14,14,1.7465000000000004
2018,1,14,15,0.0
2018,1,14,16,0.0
2018,1,14,17,0.0
2018,1,14,18,0.0
2018,1,14,19,0.0
2018,1,14,20,0.0
2018,1,14,21,0.0
2018,1,14,22,0.0
2018,1,14,23,0.0
2018,1,15,0,0.0
2018,1,15,1,0.0
2018,1,15,2,0.0
2018,1,15,3,0.0
2018,1,15,4,0.0
2018,1,15,5,0.0
2018,1,15,6,0.0
2018,1,15,7,0.0
2018,1,15,8,0.0
2018,1,15,9,0.8684999999999997
2018,1,15,10,5.120166666666664
2018,1,15,11,9.616166666666665
2018,1,15,12,5.3794999999999975
2018,1,15,13,1.4511666666666678
2018,1,15,14,0.0
2018,1,15,15,0.0
2018,1,15,16,0.0
2018,1,15,17,0.0
2018,1,15,18,0.0
2018,1,15,19,0.0
2018,1,15,20,0.0
2018,1,15,21,0.0
2018,1,15,22,0.0
2018,1,15,23,0.0
2018,1,16,0,0.0
2018,1,16,1,0.0
2018,1,16,2,0.0
2018,1,16,3,0.0
2018,1,16,4,0.0
2018,1,16,5,0.0
2018,1,16,6,0.0
2018,1,16,7,0.0
2018,1,16,8,0.5948333333333333
2018,1,16,9,10.077666666666664
2018,1,16,10,45.70633333333333
2018,1,16,11,51.11916666666666
2018,1,16,12,51.97633333333333
2018,1,16,13,18.53050000000001
2018,1,16,14,1.4653333333333334
2018,1,16,15,0.0
2018,1,16,16,0.0
2018,1,16,17,0.0
2018,1,16,18,0.0
2018,1,16,19,0.0
2018,1,16,20,0.0
2018,1,16,21,0.0
2018,1,16,22,0.0
2018,1,16,23,0.0
2018,1,17,0,0.0
2018,1,17,1,0.0
2018,1,17,2,0.0
2018,1,17,3,0.0
2018,1,17,4,0.0
2018,1,17,5,0.0
2018,1,17,6,0.0
2018,1,17,7,0.0
2018,1,17,8,0.8026666666666664
2018,1,17,9,6.925666666666669
2018,1,17,10,13.563
2018,1,17,11,16.047666666666665
2018,1,17,12,18.146833333333312
2018,1,17,13,17.124333333333336
2018,1,17,14,5.086166666666666
2018,1,17,15,0.0
2018,1,17,16,0.0
2018,1,17,17,0.0
2018,1,17,18,0.0
2018,1,17,19,0.0
2018,1,17,20,0.0
2018,1,17,21,0.0
2018,1,17,22,0.0
2018,1,17,23,0.0
2018,1,18,0,0.0
2018,1,18,1,0.0
2018,1,18,2,0.0
2018,1,18,3,0.0
2018,1,18,4,0.0
2018,1,18,5,0.0
2018,1,18,6,0.0
2018,1,18,7,0.0
2018,1,18,8,2.2883333333333336
2018,1,18,9,14.742166666666668
