Dataset name: 'TUHHx'
Days: 194 
Period Length: 86400 seconds (Equivalent to 1 day) 
Sample rate: 300 seconds (5 minutes)
Samples per period 86400/300: 288 (After every 5 minutes)
File structure: First 288 current values in column presents first day, 
next 288 values present next day and so on. Current values are in milli-ampere. 

d = Day Number
c = Current I (mA)

d,c 
1,0
1,0
1,0
1,0
1,0
1,0
1,0
1,0
1,0
1,0
1,0
1,0
1,0
1,0
1,0
1,0
1,0
1,0
1,0
1,0
1,0
1,0
1,0
1,0
1,0
1,0
1,0
1,0
1,0
1,0
1,0
1,0
1,0
1,0
1,0
1,0
1,0
1,0
1,0
1,0
1,0
1,0
1,0
1,0
1,0
1,0
1,0
1,0
1,0
1,0
1,0
1,0
1,0
1,0
1,0
1,0
1,0
1,0
1,0
1,0
1,0
1,0
1,0
1,0
1,0
1,0
1,0
1,0
1,0
1,0
1,0
1,0
1,0
1,0
1,0
1,0
1,0
1,0
1,0
1,0
1,0
1,0
1,0
1,0
1,0
1,0
1,0
1,0.0059296
1,0.0039531
1,0.0039531
1,0.011859
1,0.031625
1,0.035578
1,0.047437
1,0.079062
1,0.094874
1,0.11859
1,0.11464
1,0.11859
1,0.13441
1,0.15417
1,0.19568
1,0.42298
1,0.44275
1,0.33997
1,0.38345
1,0.41211
1,0.56233
1,0.75109
1,1.1892
1,0.95336
1,0.80446
1,0.6997
1,0.8934
1,1.6623
1,2.1143
1,1.9851
1,1.6109
1,1.6939
1,1.8441
1,1.7844
1,1.6172
1,1.6287
1,1.5931
1,1.2848
1,1.2729
1,1.2156
1,1.0041
1,1.0278
1,1.516
1,2.0042
1,2.2948
1,2.5537
1,3.3759
1,3.1803
1,3.3443
1,3.6339
1,3.5034
1,2.6328
1,3.2321
1,3.8822
1,4.0908
1,4.6508
1,3.3858
1,3.2099
1,3.8108
1,4.7773
1,5.4823
1,5.11
1,5.307
1,5.4671
1,4.633
1,4.8346
1,6.4811
1,9.8709
1,17.828
1,13.245
1,12.472
1,11.48
1,16.139
1,8.9044
1,10.831
1,9.7569
1,8.9808
1,9.3313
1,6.2242
1,3.6131
1,3.8385
1,6.4455
1,11.733
1,14.555
1,16.259
1,11.298
1,10.449
1,8.0933
1,6.7045
1,8.7482
1,12.871
1,9.8709
1,8.5288
1,9.2088
1,8.6178
1,5.9771
1,12.911
1,15.611
1,14.259
1,10.08
1,9.0131
1,8.5308
1,5.8506
1,5.307
1,4.384
1,3.2969
1,3.6448
1,1.9607
1,1.0041
1,0.86968
1,0.74714
1,0.86178
1,0.45461
1,0.58901
1,0.34787
1,0
1,0.10476
1,0.043484
1,0.025695
1,0
1,0.023719
1,0.025695
1,0.011859
1,0.027672
1,0.15812
1,0.059296
1,0.0059296
1,0.019765
1,0.021742
1,0.021742
1,0.0098827
1,0.011859
1,0.0039531
1,0.027672
1,0.027672
1,0.024377
1,0.0112
1,0.0079062
1,0
1,0
1,0.013836
1,0.017789
1,0.013836
1,0.021742
1,0.0079062
1,0.0039531
1,0.0059296
1,0.0079062
1,0.019765
1,0.0079062
1,0.0079062
1,0.0059296
1,0.0079062
1,0.0059296
1,0.0079062
1,0.0039531
1,0.015812
1,0
1,0
1,0.0039531
1,0.0059296
1,0
1,0.011859
1,0.0039531
1,0
1,0
1,0
1,0
1,0.0059296
1,0
1,0.013836
1,0
1,0.0039531
1,0.0079062
1,0.0098827
1,0.0098827
1,0.0079062
1,0.011859
1,0.0039531
1,0
1,0
1,0.0059296
1,0.0079062
1,0.029648
1,0.0059296
1,0
1,0.0059296
1,0
1,0.0019765
1,0.013836
1,0
1,0
1,0.0098827
1,0
1,0
1,0.0059296
1,0
1,0.0039531
1,0.0039531
1,0
1,0.0079062
2,0
2,0
2,0
2,0.0079062
2,0.0098827
2,0.0079062
2,0.0019765
2,0
2,0
2,0.0039531
2,0
2,0.0039531
2,0.0039531
2,0
2,0
2,0
2,0.0059296
2,0
2,0
2,0.011859
2,0.0059296
2,0.0039531
2,0
2,0.013836
2,0.0059296
2,0
2,0.0059296
2,0.013836
2,0
2,0
2,0.013836
2,0
2,0.0079062
2,0.0079062
2,0
2,0
2,0.0039531
2,0
2,0
2,0.017789
2,0.0059296
2,0
2,0
2,0.0079062
2,0
2,0
2,0
2,0
2,0
2,0
2,0
2,0.011859
2,0
2,0.0059296
2,0
2,0
2,0
2,0
2,0
2,0
2,0.0039531
2,0
2,0.0039531
2,0
2,0
2,0.0059296
2,0.011859
2,0.0059296
2,0
2,0
2,0
2,0.0079062
2,0
2,0
2,0
2,0
2,0.0039531
2,0
2,0
2,0
2,0
2,0
2,0.011859
2,0.015812
2,0.0039531
2,0
2,0
2,0
2,0
2,0
2,0.0059296
2,0.025695
2,0.031625
2,0.05139
2,0.098827
2,0.14626
2,0.19173
2,0.095863
2,0.12353
2,0.22137
2,0.35183
2,0.24806
2,0.26387
2,0.43484
2,0.72342
2,0.48228
2,0.52401
2,0.6896
2,0.77382
2,0.83074
2,0.92344
2,0.96653
2,1.0772
2,1.182
2,1.182
2,1.2834
2,1.6577
2,1.2982
2,1.8584
2,1.9884
2,1.518
2,1.8659
2,1.8777
2,2.3758
2,2.6565
2,3.6151
2,3.081
2,3.2953
2,3.8009
2,2.9372
2,2.0022
2,1.3302
2,1.2749
2,2.8779
2,3.3977
2,3.8464
2,4.2041
2,5.5976
2,6.578
2,2.2078
2,2.835
2,4.8923
2,1.8412
2,0.86375
2,0.62459
2,0.61668
2,0.60087
2,0.88945
2,1.4607
2,2.5992
2,3.4708
2,4.552
2,7.6058
2,8.5644
2,3.3443
2,2.7336
2,3.3878
2,14.034
2,12.498
2,9.0025
2,7.0326
2,8.3233
2,4.0658
2,2.4885
2,1.8659
2,6.3526
2,4.6409
2,2.5339
2,0.77678
2,0.3202
2,0.40717
2,0.13441
2,0.35183
2,0.11266
2,0.06325
2,0.19963
2,0.28858
2,0.067203
2,0.46251
2,0.069179
2,2.2078
2,1.7552
2,9.3649
2,7.7283
2,11.341
2,11.717
2,12.812
2,13.852
2,15.334
2,12.753
2,4.0065
2,0.25695
2,0.1937
2,0
2,0
2,0.0059296
2,0.15615
2,0.065226
2,0.11662
2,0
2,0.13836
2,0
2,0.0079062
2,0.019765
2,0.0079062
2,0.015812
2,0.035578
2,0.025695
2,0.055343
2,0.0039531
2,0.017789
2,0
2,0.0059296
2,0.0039531
2,0.013836
2,0.017789
2,0.021742
2,0.0098827
2,0
2,0
2,0
2,0
2,0
2,0.0079062
2,0.0059296
2,0
2,0
2,0.013836
2,0
2,0
2,0.0013177
2,0.010542
2,0
2,0.0098827
2,0
2,0
2,0
2,0
2,0
2,0
2,0.015812
2,0.011859
2,0
2,0.0079062
2,0
2,0
2,0.0079062
2,0.0059296
2,0
2,0.0059296
2,0
2,0
2,0
2,0
2,0.019765
2,0
2,0
2,0
2,0
2,0
2,0
2,0
2,0.0079062
2,0.0039531
2,0.0019765
2,0
2,0.0039531
2,0.0039531
2,0
2,0
2,0
2,0
2,0
